mexico freed us marine reservist sgt|us|,墨西哥,释放,我们,海洋,预备役,上士|我们|我们|pronoun|我们|我们|我们(pronoun)+|
i had one hand above my head not both just one|just|我,有,一,只,手,我,头顶,并不,都,只是,一,个|只是|只是|adverb|只是|只是|只是(adverb)+刚刚(adverb)+只(adverb)+刚(adverb)+啻(adverb)+方(adverb)+甫(adverb)+干脆(adverb)+刚好(adverb)+光是(adverb)+才(adverb)+聊(adverb)+恰(adverb)+恰恰(adverb)+顷(adverb)+正(adverb)+止(adverb)+只不过(adverb)+简直(adverb)+公正(adjective)+公(adjective)+公平(adjective)+合乎正道的(adjective)+合理的(adjective)+义(adjective)+允(adjective)+直(adjective)+|
i had one hand above my head not both just one|one|我,有,一,只,手,我,头顶,并不,都,只是,一,个|一|一|CD||一|一()+之一()+壹()+|
i was laying on a bed |bed|我,躺在,床上|床|床上|noun|床|床|床(noun)+床位(noun)+床铺(noun)+河床(noun)+花坛(noun)+铺(noun)+矿(noun)+熟荒(noun)+|
when i got the opportunity|when|当,我,有机会|||adverb|何时|何时|何时(adverb)+曷(adverb)+几时(adverb)+洎(adverb)+日子(noun)+等(conjunction)+于(conjunction)+|
when i got the opportunity|opportunity|当,我,有机会|机会|有机会|noun|机会|机会|机会(noun)+机遇(noun)+时机(noun)+会(noun)+机(noun)+时(noun)+隙(noun)+|
i decided to stab myself in the neck with a light bulb |myself|我,决定,在,一,个,灯泡,的,颈部,捅,自己,一刀|||pronoun|我|我|我(pronoun)+本人(pronoun)+独自(pronoun)+我自己(pronoun)+|
i decided to stab myself in the neck with a light bulb |neck|我,决定,在,一,个,灯泡,的,颈部,捅,自己,一刀|颈部|颈部|noun|颈部|颈部|颈部(noun)+颈(noun)+脖子(noun)+头颈(noun)+领(noun)+颈项(noun)+脖(noun)+脰(noun)+頡(noun)+拥抱(verb)+拥吻(verb)+|
i decided to stab myself in the neck with a light bulb |light|我,决定,在,一,个,灯泡,的,颈部,捅,自己,一刀|灯|灯泡|adjective|轻|光|光(noun)+灯(noun)+亮(noun)+灯光(noun)+发光体(noun)+光纤(noun)+脚灯(noun)+烺(noun)+明亮(noun)+暘(noun)+阳光(noun)+荧(noun)+点燃(verb)+发光(verb)+点(verb)+燃(verb)+燃点(verb)+燃放(verb)+生(verb)+轻(adjective)+浅(adjective)+粗心(adjective)+淡(adjective)+淡薄(adjective)+娇嫩(adjective)+朗(adjective)+明亮的(adjective)+嫩(adjective)+薄(adjective)+轻浮(adjective)+轻飘(adjective)+轻微(adjective)+纾缓(adjective)+晔(adjective)+忧(adjective)+昱(adjective)+暲(adjective)+晢(adjective)+轻便(adjective)+|
i decided to stab myself in the neck with a light bulb |bulb|我,决定,在,一,个,灯泡,的,颈部,捅,自己,一刀|灯泡|灯泡|noun|灯泡|灯泡|灯泡(noun)+电灯泡(noun)+球茎(noun)+凸出(verb)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|thinking|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|||verb||思想|思想(noun)+思维(noun)+思路(noun)+思索(noun)+思绪(noun)+维(noun)+心(noun)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|come|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|来|前来|verb|来|来|来(verb)+来到(verb)+过来(verb)+发生(verb)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|abuse|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|||verb|滥用|滥用|滥用(noun)+弊(noun)+弊端(noun)+诟(noun)+流弊(noun)+骂(noun)+谩骂(noun)+滥用(verb)+诟(verb)+僇(verb)+骂(verb)+谩骂(verb)+辱骂(verb)+讪(verb)+谇(verb)+咒骂(verb)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|me|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|||pronoun|我|我|我(pronoun)+余(pronoun)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|more|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|更多|更多|adjective|更|更多|更多(adverb)+更(adverb)+更加(adverb)+更好(adverb)+还(adverb)+外加(adverb)+更(adjective)+更加(adjective)+更好(adjective)+弥(adjective)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|torture|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|||verb|拷打|拷打|拷打(verb)+动刑(verb)+拷(verb)+熬煎(noun)+煎熬(noun)+临危(noun)+刑法(noun)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|me|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|||pronoun|我|我|我(pronoun)+余(pronoun)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|get|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|收到|收到|verb|得到|得到|得到(verb)+获得(verb)+得(verb)+博(verb)+搞(verb)+将(verb)+领(verb)+弄(verb)+取(verb)+收到(verb)+受到(verb)+搜罗(verb)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|information|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|信息|信息|noun|信息|信息|信息(noun)+情报(noun)+查号台(noun)+耳目(noun)+风(noun)+见闻(noun)+声息(noun)+消息(noun)+学问(noun)+讯(noun)+知识(noun)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|family|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|家庭|家庭|noun|家庭|家庭|家庭(noun)+家族(noun)+家人(noun)+家(noun)+户(noun)+家眷(noun)+科(noun)+僚属(noun)+系(noun)+|
i was thinking they were going to come and abuse me more and torture me and get information about my family from me|me|我,在,想,他们,要,前来,和,虐待,我,更多,和,酷刑,我,收到,我,的,信息,关于,我,的,家庭|||pronoun|我|我|我(pronoun)+余(pronoun)+|
im not going to allow them to do that |not|我,不,会,允许,他们,这样,做,的|不|不|adverb|不|不|不(adverb)+未(adverb)+无(adverb)+非(adverb)+弗(adverb)+没(adverb)+靡(adverb)+叵(adverb)+毋(adverb)+|
im not going to allow them to do that |do|我,不,会,允许,他们,这样,做,的|做|做|verb|做|做|做(verb)+办(verb)+操(verb)+从事(verb)+胹(verb)+干(verb)+搞(verb)+进行(verb)+闹(verb)+弄(verb)+行(verb)+演(verb)+作(verb)+欺诈(noun)+使为难(noun)+|
tahmooressi said conditions improved after media coverage of his plight|after|tahmooressi,说,：,,条件,改善,后,媒体,对,他,的,困境,的,报道|后|后|preposition|之后|后|后(adverb)+以后(adverb)+后面(adverb)+之后(preposition)+经过(preposition)+以后(preposition)+经(preposition)+余(preposition)+以后的(adjective)+接着(conjunction)+然后(conjunction)+随之而后(conjunction)+|
tahmooressi said conditions improved after media coverage of his plight|media|tahmooressi,说,：,,条件,改善,后,媒体,对,他,的,困境,的,报道|媒体|媒体|noun|媒体|媒体|媒体(noun)+介质(noun)+传播媒介(noun)+新闻工具(noun)+新聞界(noun)+宣传工具(noun)+|
mexican prison authorities have denied the abuse allegations|prison|墨西哥,一,座,监狱,当局,否认,虐待,的,指控|监狱|监狱|noun|监狱|监狱|监狱(noun)+监(noun)+狱(noun)+牢(noun)+犴(noun)+豻(noun)+班房(noun)+狴(noun)+拘留所(noun)+囹(noun)+囚牢(noun)+囚室(noun)+铁窗(noun)+|
mexican prison authorities have denied the abuse allegations|have|墨西哥,一,座,监狱,当局,否认,虐待,的,指控|||verb|有|有|有(verb)+具有(verb)+拥有(verb)+具备(verb)+抱有(verb)+带有(verb)+含有(verb)+喝(verb)+所有(verb)+拥(verb)+有着(verb)+占有(verb)+|
mexican prison authorities have denied the abuse allegations|abuse|墨西哥,一,座,监狱,当局,否认,虐待,的,指控|||noun|滥用|滥用|滥用(noun)+弊(noun)+弊端(noun)+诟(noun)+流弊(noun)+骂(noun)+谩骂(noun)+滥用(verb)+诟(verb)+僇(verb)+骂(verb)+谩骂(verb)+辱骂(verb)+讪(verb)+谇(verb)+咒骂(verb)+|
the richardson center for global engagement said in a facebook posting that|center|参与,全球,事务,中,过帐,，,facebook,说,理查森,研究,中心|中心|中心|noun|中心|中心|中心(noun)+中央(noun)+顶尖(noun)+基点(noun)+枢(noun)+心(noun)+央(noun)+正中(noun)+中(noun)+中间(noun)+集中(verb)+围绕(verb)+关于(verb)+|
the richardson center for global engagement said in a facebook posting that|global|参与,全球,事务,中,过帐,，,facebook,说,理查森,研究,中心|全球|全球|adjective|全球|全球|全球(adjective)+环球(adjective)+|
bill richardson the former governor of new mexico visited tahmooressi last week at el hongo federal prison in mexico and was instrumental in securing his release|bill|比尔,·,理查森,新墨西哥州,前,的,州长,上周,在,el,本乡,墨西哥,联邦,监狱,访问,tahmooressi,，,并,有助,确保,释放,他|||noun|法案|法案|法案(noun)+帐单(noun)+议案(noun)+票据(noun)+单(noun)+汇票(noun)+单子(noun)+广告(noun)+喙(noun)+货单(noun)+票(noun)+票子(noun)+咮(noun)+|
bill richardson the former governor of new mexico visited tahmooressi last week at el hongo federal prison in mexico and was instrumental in securing his release|former|比尔,·,理查森,新墨西哥州,前,的,州长,上周,在,el,本乡,墨西哥,联邦,监狱,访问,tahmooressi,，,并,有助,确保,释放,他|前|前|adjective|前|前|前(adjective)+原(adjective)+旧(adjective)+过急的(adjective)+过去(adjective)+过世的(adjective)+宿(adjective)+先(adjective)+原来(adjective)+原先(adjective)+前者(noun)+模型(noun)+昔(noun)+|
bill richardson the former governor of new mexico visited tahmooressi last week at el hongo federal prison in mexico and was instrumental in securing his release|governor|比尔,·,理查森,新墨西哥州,前,的,州长,上周,在,el,本乡,墨西哥,联邦,监狱,访问,tahmooressi,，,并,有助,确保,释放,他|||noun|管理者|管理者|管理者(noun)+统治者(noun)+|
bill richardson the former governor of new mexico visited tahmooressi last week at el hongo federal prison in mexico and was instrumental in securing his release|new|比尔,·,理查森,新墨西哥州,前,的,州长,上周,在,el,本乡,墨西哥,联邦,监狱,访问,tahmooressi,，,并,有助,确保,释放,他|新|新墨西哥州|adjective|新|新|新(adjective)+耗(adjective)+新奇(adjective)+新任(adjective)+新兴(adjective)+新颖(adjective)+异(adjective)+|
bill richardson the former governor of new mexico visited tahmooressi last week at el hongo federal prison in mexico and was instrumental in securing his release|last|比尔,·,理查森,新墨西哥州,前,的,州长,上周,在,el,本乡,墨西哥,联邦,监狱,访问,tahmooressi,，,并,有助,确保,释放,他|上|上周|adjective|最后|持续|持续(verb)+延续(verb)+历时(verb)+最后(adjective)+上(adjective)+上个(adjective)+最后(adverb)+在大家之后(adverb)+末(noun)+底(noun)+剩余(noun)+|
bill richardson the former governor of new mexico visited tahmooressi last week at el hongo federal prison in mexico and was instrumental in securing his release|week|比尔,·,理查森,新墨西哥州,前,的,州长,上周,在,el,本乡,墨西哥,联邦,监狱,访问,tahmooressi,，,并,有助,确保,释放,他|周|上周|noun|周|周|周(noun)+星期(noun)+|
bill richardson the former governor of new mexico visited tahmooressi last week at el hongo federal prison in mexico and was instrumental in securing his release|federal|比尔,·,理查森,新墨西哥州,前,的,州长,上周,在,el,本乡,墨西哥,联邦,监狱,访问,tahmooressi,，,并,有助,确保,释放,他|联邦|联邦|adjective|联邦|联邦|联邦(adjective)+联合的(adjective)+联邦的人(noun)+|
bill richardson the former governor of new mexico visited tahmooressi last week at el hongo federal prison in mexico and was instrumental in securing his release|prison|比尔,·,理查森,新墨西哥州,前,的,州长,上周,在,el,本乡,墨西哥,联邦,监狱,访问,tahmooressi,，,并,有助,确保,释放,他|监狱|监狱|noun|监狱|监狱|监狱(noun)+监(noun)+狱(noun)+牢(noun)+犴(noun)+豻(noun)+班房(noun)+狴(noun)+拘留所(noun)+囹(noun)+囚牢(noun)+囚室(noun)+铁窗(noun)+|
bill richardson the former governor of new mexico visited tahmooressi last week at el hongo federal prison in mexico and was instrumental in securing his release|release|比尔,·,理查森,新墨西哥州,前,的,州长,上周,在,el,本乡,墨西哥,联邦,监狱,访问,tahmooressi,，,并,有助,确保,释放,他|释放|释放|noun|释放|推出|推出(verb)+释放(verb)+发布(verb)+放(verb)+松开(verb)+发行(verb)+放出(verb)+发(verb)+放松(verb)+豁免(verb)+释(verb)+摴(verb)+松(verb)+泄(verb)+营救(verb)+纵(verb)+释放(noun)+版本(noun)+放出(noun)+首映(noun)+|
us reps ed royce (r-california) and matt salmon (r-arizona) issued statements thanking mexican authorities for showing compassion|us|我们,代表,埃德罗,伊斯,（,r,—,—,加利福尼亚州,）,和,马特,鲑鱼,（,r,-,亚利桑那州,）,发表,声明,，,感谢,墨西哥,当局,表现,出,的,同情|||pronoun|我们|我们|我们(pronoun)+|
tahmooressi is a hero who served his country bravely on the battlefields of afghanistan|hero|tahmooressi,是,一,个,英雄,，,他,为,他,的,国家,勇敢,地,在,阿富汗,的,战场,上|英雄|英雄|noun|英雄|英雄|英雄(noun)+好汉(noun)+杰(noun)+英(noun)+英豪(noun)+主人翁(noun)+|
tahmooressi is a hero who served his country bravely on the battlefields of afghanistan|who|tahmooressi,是,一,个,英雄,，,他,为,他,的,国家,勇敢,地,在,阿富汗,的,战场,上|||pronoun|谁|谁|谁(pronoun)+何人(pronoun)+孰(pronoun)+|
tahmooressi is a hero who served his country bravely on the battlefields of afghanistan|country|tahmooressi,是,一,个,英雄,，,他,为,他,的,国家,勇敢,地,在,阿富汗,的,战场,上|国家|国家|noun|国家|国家|国家(noun)+国(noun)+乡村(noun)+我国(noun)+邦(noun)+本土(noun)+国度(noun)+国人(noun)+江山(noun)+乡(noun)+乡下(noun)+农村的(adjective)+乡村的(adjective)+|
which is why so many americans have been focused on getting him home|which|这,就,是,为什么,这么,多,美国人,一直,专注,于,送,他,回家|||WDT||哪|哪(pronoun)+哪一个(pronoun)+何(adjective)+孰(adjective)+|
which is why so many americans have been focused on getting him home|why|这,就,是,为什么,这么,多,美国人,一直,专注,于,送,他,回家|为什么|为什么|adverb|为什么|为什么|为什么(adverb)+何(adverb)+曷(adverb)+何以(adverb)+胡(adverb)+为甚么(adverb)+奚(adverb)+焉(adverb)+咋(adverb)+怎(adverb)+怎么(adverb)+怎样(adverb)+理由(noun)+|
which is why so many americans have been focused on getting him home|many|这,就,是,为什么,这么,多,美国人,一直,专注,于,送,他,回家|多|多|adjective|许多|许多|许多(adjective)+多(adjective)+大多(adjective)+繁(adjective)+繁杂(adjective)+好多(adjective)+濔(adjective)+烝(adjective)+众(adjective)+诸(adjective)+夥(noun)+黎(noun)+诸(noun)+|
which is why so many americans have been focused on getting him home|have|这,就,是,为什么,这么,多,美国人,一直,专注,于,送,他,回家|||verb|有|有|有(verb)+具有(verb)+拥有(verb)+具备(verb)+抱有(verb)+带有(verb)+含有(verb)+喝(verb)+所有(verb)+拥(verb)+有着(verb)+占有(verb)+|
which is why so many americans have been focused on getting him home|him|这,就,是,为什么,这么,多,美国人,一直,专注,于,送,他,回家|他|他|pronoun|他|他|他(pronoun)+之(pronoun)+|
which is why so many americans have been focused on getting him home|home|这,就,是,为什么,这么,多,美国人,一直,专注,于,送,他,回家|家|回家|noun|家|家|家(noun)+故乡(noun)+家园(noun)+乡土(noun)+斋(noun)+|
said royce chairman of the house foreign affairs committee|chairman|众议院,外交,事务,委员会,主席,罗伊斯,说,：|主席|主席|noun|主席|主席|主席(noun)+会长(noun)+主任(noun)+总裁(noun)+当主人(verb)+任主席(verb)+|
